Leveldimensionen_10000_2000_1
Leveleinstellungen_1,1_1000_bg-up-to-the-sky.png
Player_RollingBall_RollingBall,JumpingCross_100.0|1800.0_0|1700,100|1700,200|1700,300|1700,400|1700,500|1700
Ground_(9961.0| 476.0)_0109-Ground_none_39|16
WalkingSoldier_(2132.0| 1607.0)_0024-WalkingSoldier_none_none
Ground_(1146.0| 1906.0)_0008-Ground_none_24|9
Ground_(4435.0| 1836.0)_0042-Ground_none_68|12
WalkingSoldier_(8939.0| 968.0)_0091-WalkingSoldier_none_none
JumpingSoldier_(8959.0| 611.0)_0100-JumpingSoldier_none_none
Ground_(3392.0| 1801.0)_0037-Ground_none_6|10
Ground_(2796.0| 1482.0)_0027-Ground_none_26|74
WalkingSoldier_(893.0| 1896.0)_0010-WalkingSoldier_none_none
Ground_(9282.0| 1051.0)_0085-Ground_none_88|27
Ground_(2199.0| 1512.0)_0018-Ground_none_239|15
WalkingSoldier_(2059.0| 1608.0)_0023-WalkingSoldier_none_none
Ground_(7627.0| 1778.0)_0068-Ground_none_33|34
JumpingSoldier_(9786.0| 900.0)_0127-JumpingSoldier_none_none
JumpingSoldier_(9889.0| 456.0)_0106-JumpingSoldier_none_none
JumpingSoldier_(7092.0| 1620.0)_0066-JumpingSoldier_none_none
Door_(9158.0| 180.0)_0116-Door_none_4|87
Ground_(8562.0| 1686.0)_0075-Ground_none_90|20
JumpingSoldier_(5199.0| 1563.0)_0048-JumpingSoldier_none_none
WalkingSoldier_(5928.0| 1819.0)_0052-WalkingSoldier_none_none
Button_(9035.0| 28.0)_0122-Button_none_10
JumpingSoldier_(3007.0| 1629.0)_0032-JumpingSoldier_none_none
JumpingSoldier_(3696.0| 1533.0)_0041-JumpingSoldier_none_none
Ground_(678.0| 1870.0)_0002-Ground_none_100|14
Ground_(6594.0| 1827.0)_0057-Ground_none_127|16
Ground_(4820.0| 1778.0)_0045-Ground_none_68|14
Ground_(8937.0| 1535.0)_0078-Ground_none_76|19
Ground_(433.0| 1740.0)_0016-Ground_none_21|86
Ground_(832.0| 1905.0)_0007-Ground_none_17|10
WalkingSoldier_(2253.0| 1607.0)_0025-WalkingSoldier_none_none
Ground_(9321.0| 667.0)_0097-Ground_none_42|20
Ground_(9131.0| 720.0)_0096-Ground_none_37|21
Ground_(3217.0| 1683.0)_0033-Ground_none_179|15
Door_(9033.0| 223.0)_0132-Door_none_35|44
JumpingSoldier_(2797.0| 1662.0)_0028-JumpingSoldier_none_none
Ground_(571.0| 1638.0)_0017-Ground_none_159|17
Soldier_(1542.0| 1730.0)_0004-Soldier_none_none
JumpingSoldier_(1352.0| 1750.0)_0013-JumpingSoldier_none_none
JumpingSoldier_(7620.0| 1602.0)_0071-JumpingSoldier_none_none
Ground_(8811.0| 428.0)_0130-Ground_none_455|15
Ground_(990.0| 1927.0)_0003-Ground_none_166|15
Ground_(7263.0| 1593.0)_0064-Ground_none_36|39
Ground_(3011.0| 1823.0)_0031-Ground_none_28|155
Ground_(9540.0| 261.0)_0111-Ground_none_45|14
Door_(9037.0| 269.0)_0120-Door_none_116|5
Ground_(1351.0| 1868.0)_0012-Ground_none_25|23
Ground_(9172.0| 358.0)_0131-Ground_none_21|68
Ground_(9823.0| 387.0)_0110-Ground_none_53|12
Ground_(3218.0| 1817.0)_0035-Ground_none_181|17
Ground_(5802.0| 1837.0)_0053-Ground_none_29|8
Ground_(2182.0| 1645.0)_0019-Ground_none_260|18
JumpingSoldier_(7943.0| 1622.0)_0072-JumpingSoldier_none_none
JumpingSoldier_(4814.0| 1626.0)_0047-JumpingSoldier_none_none
JumpingSoldier_(9595.0| 455.0)_0103-JumpingSoldier_none_none
JumpingSoldier_(8496.0| 1506.0)_0081-JumpingSoldier_none_none
Ground_(9500.0| 580.0)_0107-Ground_none_19|6
Elevator_(3452.0| 1683.0)_0034-Elevator_none_54|13,1826.0,1670.0
Door_(4000.0| 1400.0)_0020-Door_none_4000|10
WalkingSoldier_(6253.0| 1815.0)_0056-WalkingSoldier_none_none
Ground_(9266.0| 1359.0)_0083-Ground_none_124|24
Ground_(6150.0| 1856.0)_0051-Ground_none_361|14
Ground_(4074.0| 1747.0)_0039-Ground_none_69|14
WalkingSoldier_(6141.0| 1814.0)_0055-WalkingSoldier_none_none
Button_(9813.0| 208.0)_0113-Button_none_0
Ground_(2435.0| 1623.0)_0022-Ground_none_8|9
Ground_(8406.0| 1751.0)_0074-Ground_none_106|19
Ground_(8956.0| 1010.0)_0086-Ground_none_257|20
Ground_(8224.0| 1821.0)_0073-Ground_none_39|36
Ground_(110.0| 1966.0)_0014-Ground_none_108|18
JumpingSoldier_(6511.0| 1665.0)_0058-JumpingSoldier_none_none
JumpingSoldier_(7367.0| 1669.0)_0067-JumpingSoldier_none_none
Ground_(7094.0| 1788.0)_0062-Ground_none_32|32
Ground_(6922.0| 1521.0)_0065-Ground_none_36|38
Ground_(8825.0| 1592.0)_0077-Ground_none_91|17
Ground_(9482.0| 1248.0)_0084-Ground_none_101|27
JumpingSoldier_(9785.0| 457.0)_0105-JumpingSoldier_none_none
Ground_(1627.0| 1765.0)_0001-Ground_none_135|14
JumpingSoldier_(4060.0| 1618.0)_0043-JumpingSoldier_none_none
WalkingSoldier_(1037.0| 1895.0)_0011-WalkingSoldier_none_none
Ground_(9730.0| 1042.0)_0125-Ground_none_77|26
Ground_(9219.0| 283.0)_0118-Ground_none_68|20
JumpingSoldier_(9327.0| 513.0)_0102-JumpingSoldier_none_none
Ground_(8791.0| 840.0)_0094-Ground_none_40|16
Ground_(3685.0| 1684.0)_0038-Ground_none_173|15
Ground_(5764.0| 1881.0)_0050-Ground_none_90|16
Ground_(9322.0| 253.0)_0112-Ground_none_36|15
JumpingSoldier_(8800.0| 725.0)_0099-JumpingSoldier_none_none
Ground_(9674.0| 318.0)_0123-Ground_none_44|18
Ground_(6941.0| 1883.0)_0061-Ground_none_38|38
JumpingSoldier_(8644.0| 1461.0)_0079-JumpingSoldier_none_none
Ground_(2718.0| 1768.0)_0029-Ground_none_26|24
WalkingSoldier_(8773.0| 969.0)_0089-WalkingSoldier_none_none
Ground_(9467.0| 624.0)_0129-Ground_none_58|14
WalkingSoldier_(8847.0| 969.0)_0090-WalkingSoldier_none_none
Ground_(7369.0| 1847.0)_0063-Ground_none_38|34
Ground_(7955.0| 1861.0)_0070-Ground_none_38|41
JumpingSoldier_(9691.0| 457.0)_0104-JumpingSoldier_none_none
Ground_(3012.0| 1466.0)_0030-Ground_none_27|58
Ground_(433.0| 1928.0)_0015-Ground_none_21|19
JumpingSoldier_(6665.0| 1667.0)_0060-JumpingSoldier_none_none
Ground_(5000.0| -2.0)_0119-Ground_none_5000|1
Ground_(8910.0| 136.0)_0121-Ground_none_11|142
Ground_(9077.0| 1470.0)_0082-Ground_none_75|17
WalkingSoldier_(3077.0| 1773.0)_0036-WalkingSoldier_none_none
Door_(9284.0| 178.0)_0115-Door_none_4|89
Soldier_(1664.0| 1732.0)_0009-Soldier_none_none
Ground_(9601.0| 1141.0)_0124-Ground_none_79|26
WalkingSoldier_(9091.0| 968.0)_0093-WalkingSoldier_none_none
Ground_(5642.0| 1911.0)_0049-Ground_none_94|15
JumpingSoldier_(9131.0| 565.0)_0101-JumpingSoldier_none_none
Ground_(9984.0| 579.0)_0108-Ground_none_14|7
WalkingSoldier_(6037.0| 1818.0)_0054-WalkingSoldier_none_none
JumpingSoldier_(9981.0| 338.0)_0128-JumpingSoldier_none_none
Button_(9434.0| 69.0)_0114-Button_none_10
JumpingSoldier_(624.0| 1716.0)_0005-JumpingSoldier_none_none
Ground_(5200.0| 1706.0)_0046-Ground_none_77|17
JumpingSoldier_(9013.0| 1368.0)_0080-JumpingSoldier_none_none
Ground_(9739.0| 598.0)_0098-Ground_none_258|14
Ground_(7671.0| 1522.0)_0069-Ground_none_35|35
Ground_(9221.0| 42.0)_0117-Ground_none_70|53
JumpingSoldier_(703.0| 1718.0)_0006-JumpingSoldier_none_none
Ground_(8953.0| 764.0)_0095-Ground_none_30|21
JumpingSoldier_(3641.0| 1533.0)_0040-JumpingSoldier_none_none
Ground_(2800.0| 1862.0)_0026-Ground_none_25|117
WalkingSoldier_(9009.0| 967.0)_0092-WalkingSoldier_none_none
Ground_(8691.0| 1636.0)_0076-Ground_none_91|19
Ground_(8698.0| 980.0)_0087-Ground_none_26|48
Ground_(9189.0| 988.0)_0088-Ground_none_24|7
JumpingSoldier_(6590.0| 1753.0)_0059-JumpingSoldier_none_none
JumpingSoldier_(9705.0| 900.0)_0126-JumpingSoldier_none_none
JumpingSoldier_(4431.0| 1695.0)_0044-JumpingSoldier_none_none
